

GeneDescription - Details of a gene sequence which is inferred from one or more observations
fwr1_start	integer	Y	FWR1 start co-ordinate in Gene Description 'sequence' field
fwr1_end	integer	Y	FWR1 end co-ordinate in Gene Description 'sequence' field
cdr1_start	integer	Y	CDR1 start co-ordinate in Gene Description 'sequence' field
cdr1_end	integer	Y	CDR1 end co-ordinate in Gene Description 'sequence' field
fwr2_start	integer	Y	FWR2 start co-ordinate in Gene Description 'sequence' field
fwr2_end	integer	Y	FWR2 end co-ordinate in Gene Description 'sequence' field
cdr2_start	integer	Y	CDR2 start co-ordinate in Gene Description 'sequence' field
cdr2_end	integer	Y	CDR2 end co-ordinate in Gene Description 'sequence' field
fwr3_start	integer	Y	FWR3 start co-ordinate in Gene Description 'sequence' field
fwr3_end	integer	Y	FWR3 end co-ordinate in Gene Description 'sequence' field
cdr3_start	integer	Y	CDR3 start co-ordinate in Gene Description 'sequence' field
alignment	array		one string for each codon in the fields v_start to cdr3_start indicating the label of that codon according to the numbering of the delineation scheme


GermlineSet - Details of a 'germline set' bringing together multiple GeneDescriptions from the same strain or species
Field	Type	Required	Description
author	string	Y	Corresponding author
lab_name	string	Y	Department of corresponding author
lab_address	string	Y	Institutional address of corresponding author
acknowledgements	array		List of individuals whose contribution to the germline set should be acknowledged
release_version	number	Y	Version number of this record, allocated automatically
release_description	string	Y	Brief descriptive notes of the reason for this release and the changes embodied
release_date	string	Y	Date of this release
germline_set_name	string	Y	descriptive name of this germline set
pub_ids	string		Publications describing the germline set
species	string	Y	Binomial designation of subject's species
species_subgroup	string		Race, strain or other species subgroup to which this subject belongs
gene_descriptions	array	Y	list of gene_descriptions in the germline set
notes	string		Notes


Acknowledgement - Individual whose contribution to this work should be acknowledged
Field	Type	Required	Description
acknowledgement_id	string	Y	unique identifier of this Acknowledgement within the file
name	string	Y	Full name of individual
institution_name	string	Y	Individual's department and institution name
ORCID_id	string		Individual's ORCID Id, if available
